Title	Description	Image	IMDB Page	Rotten Tomatoes Page	Venues
10 Things I Hate About You	Because Heath Ledger is fucking hot, and JGL is fucking adorable, and Julia Stiles shows her fucking tits to a fucking teacher (even though you don't fucking see it)!	http://ia.media-imdb.com/images/M/MV5BMTI4MzU5OTc2MF5BMl5BanBnXkFtZTYwNzQxMjc5._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0147800/	http://www.rottentomatoes.com/m/10_things_i_hate_about_you/	Rent on Amazon
12 Angry Men	Because Henry Fonda is a fucking moral bad-ass (and real men watch black and white movies).	http://upload.wikimedia.org/wikipedia/en/9/91/12_angry_men.jpg	http://www.imdb.com/title/tt0050083/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1000013-12_angry_men/?search=12%20angry%20m	Instant Netflix, Prime Instant Video
The 39 Steps	Because if you fucking like North by Northwest, you'll fucking love this British classic (also by that fucker Alfred Hitchcock).	http://ia.media-imdb.com/images/M/MV5BMTY5ODAzMTcwOF5BMl5BanBnXkFtZTcwMzYxNDYyNA@@._V1_SX214_AL_.jpg	http://ia.media-imdb.com/images/M/MV5BMTY5ODAzMTcwOF5BMl5BanBnXkFtZTcwMzYxNDYyNA@@._V1_SX214_AL_.jpg	http://www.rottentomatoes.com/m/1000121-39_steps/?search=the%2039%20s	Hulu Plus, Rent on Amazon
2001: A Space Odyssey	Because Stanley Kubrick is a fucking master (and this movie was fucking INFLUENTIAL).	http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0062622/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1000085-2001_a_space_odyssey/?search=2001	Rent on Amazon
Adaptation.	Because Nicolas Cage plays his own fucking twin.	http://upload.wikimedia.org/wikipedia/en/5/5e/Adaptation._film.jpg	http://www.imdb.com/title/tt0268126/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1118700-adaptation/?search=adapta	Rent on Amazon
Amelie	Because it's in my top 5 fucking favorite movies, and it's fucking WHIMSICAL.	http://upload.wikimedia.org/wikipedia/en/5/53/Amelie_poster.jpg	http://www.imdb.com/title/tt0211915/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/amelie/?search=amelie	Instant Netflix, Prime Instant Video
American Graffiti	Because it takes place all in one fucking day, and it's fucking nostalgic even if you didn't fucking grow up in the fucking '60s.	http://upload.wikimedia.org/wikipedia/en/e/e6/American_graffiti_ver1.jpg	http://www.imdb.com/title/tt0069704/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/american_graffiti/?search=american%20graffi	Rent on Amazon
American Hustle	Because Christian Bale fucking gained the weight for this role.	http://upload.wikimedia.org/wikipedia/sr/c/ce/American_Hustle1.jpg	http://www.imdb.com/title/tt1800241/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/american_hustle/?search=american%20hust	Go fucking download it
The Apartment	Because its themes of infidelity and adultery made it fucking CONTROVERSIAL for its time.	http://upload.wikimedia.org/wikipedia/en/b/bb/Apartment_60.jpg	http://www.imdb.com/title/tt0053604/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1001115-apartment/?search=the%20apartmen	Rent on Amazon
The Artist	Because it only has like 6 fucking words of dialogue even though it was filmed in fucking 2011, and there's not a single zoom shot in the entire movie 'cause zoom shots didn't exist in the film's fucking time period, and it's just fucking clever, goddammit.	http://ia.media-imdb.com/images/M/MV5BMzk0NzQxMTM0OV5BMl5BanBnXkFtZTcwMzU4MDYyNQ@@._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt1655442/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/the_artist/?search=the%20artis	Rent on Amazon
